Excecution time = 1.52080392838
Air time = 20.75272
Cut time = 93.928
Total cut time = 114.68072
[3500, 3500]
[0, 548] [540, 548]
[540, 548] [540, 659]
[540, 659] [540, 822]
[540, 274] [540, 548]
[540, 659] [1095, 659]
[1095, 659] [1095, 1318]
[1095, 1318] [1095, 1977]
[1095, 1977] [1650, 1977]
[1650, 1977] [1650, 2636]
[1650, 2636] [2205, 2636]
[2205, 2636] [2760, 2636]
[2760, 2636] [3315, 2636]
[3315, 2636] [3315, 2555]
[3315, 2555] [3315, 2190]
[3315, 2190] [3315, 1977]
[3315, 1977] [3315, 1825]
[3500, 1825] [3315, 1825]
[3315, 1825] [3315, 1460]
[3500, 1460] [3315, 1460]
[3315, 1460] [3315, 1318]
[3315, 1095] [3315, 730]
[3315, 730] [3315, 659]
[3315, 659] [3315, 365]
[3315, 365] [3500, 365]
[3315, 365] [3315, 0]
[2760, 0] [2760, 659]
[2760, 659] [2760, 1318]
[2760, 1318] [2205, 1318]
[2205, 1318] [1650, 1318]
[1650, 1318] [1650, 1977]
[1650, 1977] [2205, 1977]
[2205, 1977] [2205, 2636]
[2205, 2636] [2205, 3295]
[2205, 3295] [2600, 3295]
[2600, 3295] [2600, 3500]
[3120, 3500] [3120, 3300]
[3120, 3300] [3120, 3295]
[3120, 3295] [2760, 3295]
[2760, 3295] [2600, 3295]
[2205, 3295] [2080, 3295]
[2080, 3295] [1650, 3295]
[1650, 3295] [1650, 2636]
[1650, 2636] [1095, 2636]
[1095, 2636] [540, 2636]
[540, 2636] [540, 2740]
[540, 2740] [540, 3014]
[540, 3014] [540, 3288]
[540, 3288] [0, 3288]
[0, 3014] [540, 3014]
[540, 3288] [540, 3295]
[540, 3295] [1040, 3295]
[1040, 3295] [1040, 3500]
[520, 3500] [520, 3295]
[520, 3295] [0, 3295]
[520, 3295] [540, 3295]
[1040, 3295] [1095, 3295]
[1095, 3295] [1560, 3295]
[1560, 3295] [1560, 3500]
[2080, 3500] [2080, 3295]
[1650, 3295] [1560, 3295]
[1095, 3295] [1095, 2636]
[1095, 2636] [1095, 1977]
[1095, 1977] [540, 1977]
[540, 1977] [540, 1918]
[540, 1918] [0, 1918]
[0, 2192] [540, 2192]
[540, 2192] [540, 2466]
[540, 2636] [540, 2466]
[540, 2466] [0, 2466]
[0, 2740] [540, 2740]
[540, 2192] [540, 1977]
[540, 1918] [540, 1644]
[540, 1644] [0, 1644]
[0, 1370] [540, 1370]
[540, 1644] [540, 1370]
[540, 1370] [540, 1318]
[540, 1318] [540, 1096]
[540, 1096] [540, 822]
[540, 822] [0, 822]
[0, 1096] [540, 1096]
[540, 1318] [1095, 1318]
[1095, 1318] [1650, 1318]
[1650, 1318] [1650, 659]
[1650, 659] [2205, 659]
[2205, 659] [2760, 659]
[2760, 659] [3315, 659]
[3315, 730] [3500, 730]
[3500, 1095] [3315, 1095]
[3315, 1095] [3315, 1318]
[3315, 1318] [2760, 1318]
[2760, 1318] [2760, 1977]
[2760, 1977] [3315, 1977]
[3315, 2190] [3500, 2190]
[3315, 2555] [3500, 2555]
[3315, 2636] [3315, 2920]
[3500, 2920] [3315, 2920]
[3315, 2920] [3315, 3285]
[3120, 3300] [3498, 3300]
[3498, 3300] [3498, 3500]
[3500, 3285] [3315, 3285]
[3315, 3285] [3315, 3295]
[3315, 3295] [3120, 3295]
[2760, 3295] [2760, 2636]
[2760, 2636] [2760, 1977]
[2760, 1977] [2205, 1977]
[2205, 1977] [2205, 1318]
[2205, 1318] [2205, 659]
[2205, 659] [2205, 0]
[1650, 0] [1650, 659]
[1650, 659] [1095, 659]
[1095, 659] [1095, 0]
[540, 0] [540, 274]
[540, 274] [0, 274]
