Instance 	 Excecution 	 Cut time 	 Air time 	 Total cut 	 Total 
1	0.126496076584	1.444	2.678	4.122	4.24849607658
2	0.14955496788	2.684	2.88218	5.56618	5.71573496788
3	0.0275499820709	1.948	2.38286	4.33086	4.35840998207
4	0.0722789764404	2.318	3.29927	5.61727	5.68954897644
5	0.0223219394684	3.984	2.47699	6.46099	6.48331193947
6	0.0353198051453	4.902	2.50108	7.40308	7.43839980515
7	0.0276942253113	3.558	1.93152	5.48952	5.51721422531
8	0.0298120975494	4.02	2.11969	6.13969	6.16950209755
9	0.0268638134003	9.876	3.246	13.122	13.1488638134
10	0.025358915329	7.878	2.13877	10.01677	10.0421289153
11	0.0402541160583	9.906	4.89718	14.80318	14.8434341161
12	0.0253779888153	7.956	2.83895	10.79495	10.8203279888
13	6.31770014763	134.176	16.8164	150.9924	157.310100148
14	1.38159513474	80.236	18.11968	98.35568	99.7372751347
15	1.16011118889	88.414	16.18784	104.60184	105.761951189
16	1.4847369194	93.928	20.75272	114.68072	116.165456919
17	0.884794950485	71.682	18.0998	89.7818	90.6665949505
